"id","summary_id","participant_key","participant_label","participant_kind","opponent_key","won","side","opponent_side","matchup","total_force_spent","total_force_regen","ending_force","ending_hp","ending_armor","low_force_windows","grip_cripple_events","saber_throw_punishes","knockdown_events","late_defense_spends","opening_tactic","primary_issue","spent_neutral","spent_advantage","spent_disadvantage","spent_panic","spent_finishing","force_push","force_pull","force_grip","force_drain","force_rage","force_absorb","force_protect","force_heal","force_speed","force_seeing","force_unknown"
"473","237","user:void","void","1","iphash:7d6be969","1","2","1","2","1204","1158","54","7","0","27","0","8","3","0","unknown","low_force","129","50","243","485","297","0","0","0","0","0","0","0","0","0","1204","0"
"474","237","iphash:7d6be969","^0ff^7'^0Gòónat¡Ç","2","user:void","0","1","2","2","1281","1242","100","-1","0","56","0","11","3","0","seeing","low_force","35","17","312","661","256","0","0","0","0","0","0","0","0","0","1281","0"
"475","238","iphash:7d6be969","^0ff^7'^0Gòónat¡Ç","2","user:void","1","1","2","2","4049","3963","14","100","0","137","0","19","10","0","seeing","low_force","627","40","706","2084","592","0","0","0","0","0","0","0","0","0","4049","0"
"476","238","user:void","void","1","iphash:7d6be969","0","2","1","2","3262","3262","100","-26","0","82","0","17","6","0","unknown","low_force","632","95","544","1207","784","0","0","0","0","0","0","0","0","0","3262","0"
"477","239","iphash:7d6be969","^0ff^7'^0Gòónat¡Ç","2","user:void","1","1","2","2","944","944","100","100","9","27","1","3","2","0","seeing","low_force","161","24","373","382","4","0","0","0","0","0","0","0","0","0","944","0"
"478","239","user:void","void","1","iphash:7d6be969","0","2","1","2","782","708","100","-4","0","7","0","10","1","0","seeing","low_force","64","0","385","53","280","0","0","0","0","0","0","0","0","0","782","0"
"479","240","user:void","void","1","iphash:7d6be969","1","1","1","1","701","649","48","100","6","4","0","5","2","0","seeing","low_force","252","13","164","108","164","0","0","0","0","0","0","0","0","0","701","0"
"480","240","iphash:7d6be969","^0ff^7'^0Gòónat¡Ç","2","user:void","0","1","1","1","825","766","100","-27","0","15","0","10","2","0","seeing","low_force","117","0","381","263","64","0","0","0","0","0","0","0","0","0","825","0"
"481","241","user:void","void","1","iphash:7d6be969","1","1","1","1","1428","1352","24","50","0","12","0","13","3","0","seeing","low_force","149","11","706","363","199","0","0","0","0","0","0","0","0","0","1428","0"
"482","241","iphash:7d6be969","^0ff^7'^0Gòónat¡Ç","2","user:void","0","1","1","1","1488","1488","100","-10","0","24","0","10","3","0","seeing","low_force","411","25","434","546","72","0","0","0","0","0","0","0","0","0","1488","0"
"483","242","iphash:7d6be969","^0ff^7'^0Gòónat¡Ç","2","user:void","1","1","1","1","3286","3189","3","88","0","59","0","23","8","0","seeing","low_force","590","40","483","1882","291","0","0","0","0","0","0","0","0","0","3286","0"
"484","242","user:void","void","1","iphash:7d6be969","0","1","1","1","2545","2458","100","0","0","32","0","22","0","0","seeing","low_force","585","80","697","806","377","0","0","0","0","0","0","0","0","0","2545","0"
"485","243","user:void","void","1","iphash:7d6be969","1","1","1","1","558","512","54","20","0","5","0","6","0","0","seeing","low_force","77","0","309","150","22","0","0","0","0","0","0","0","0","0","558","0"
