"id","source_context","start_time","end_time","duration","mapname","participant_key","participant_label","participant_kind","result","arcade_level","total_kills","total_force_spent","total_force_regen","total_damage_taken","total_damage_dealt","low_force_windows","knockdown_events","counter_successes","punish_successes","reset_successes","saber_return_punishes"
"15","arcade","1790127689","1790127709","20","maps/vjun3","user:void","void","1","level_clear","4","1","220","157","100","150","6","0","2","1","1","3"
"16","arcade","1790127711","1790127783","72","maps/vjun3","user:void","void","1","level_clear","5","2","841","766","170","353","34","3","4","3","17","0"
"17","arcade","1790127784","1790127842","58","maps/vjun3","user:void","void","1","eliminated","6","0","883","803","343","336","41","2","13","6","11","0"
"18","arcade","1790127853","1790127929","76","maps/vjun3","user:void","void","1","level_clear","2","1","794","694","131","395","30","2","6","4","8","1"
"19","arcade","1790127931","1790127959","28","maps/vjun3","user:void","void","1","level_clear","3","1","393","303","76","241","22","1","1","8","5","0"
"20","arcade","1790127961","1790128002","41","maps/vjun3","user:void","void","1","level_clear","4","1","663","595","135","216","27","0","1","3","11","1"
"21","arcade","1790128003","1790128061","58","maps/vjun3","user:void","void","1","eliminated","5","1","763","763","109","456","21","3","3","12","11","2"
"22","arcade","1790128072","1790128097","25","maps/vjun3","user:void","void","1","level_clear","2","1","321","250","52","252","7","1","3","4","1","1"
"23","arcade","1790128099","1790128121","22","maps/vjun3","user:void","void","1","level_clear","3","1","265","205","80","181","7","1","2","2","6","2"
"24","arcade","1790128123","1790128170","47","maps/vjun3","user:void","void","1","level_clear","4","1","618","548","170","274","25","1","1","8","8","3"
"25","arcade","1790128172","1790128207","35","maps/vjun3","user:void","void","1","level_clear","5","2","498","406","94","319","16","0","4","5","3","3"
"26","arcade","1790128210","1790128263","53","maps/vjun3","user:void","void","1","eliminated","6","1","687","598","109","345","33","2","7","2","5","1"
"27","arcade","1790128464","1790128496","32","maps/mp/duel4","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","level_clear","1","1","342","322","42","211","7","1","3","6","2","3"
"28","arcade","1790128498","1790128506","8","maps/mp/duel4","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","level_clear","2","1","110","45","1","126","0","0","2","2","0","1"
"29","arcade","1790128508","1790128520","12","maps/mp/duel4","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","level_clear","3","1","175","97","20","170","2","0","1","2","2","1"
"30","arcade","1790128522","1790128550","28","maps/mp/duel4","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","eliminated","4","0","332","232","160","216","19","1","4","3","4","1"
"31","arcade","1790128561","1790128597","36","maps/mp/duel4","user:void","void","1","level_clear","2","1","636","539","154","214","27","3","3","3","10","0"
"32","arcade","1790128599","1790128634","35","maps/mp/duel4","user:void","void","1","level_clear","3","1","467","387","30","213","7","0","0","8","4","0"
"33","arcade","1790128636","1790128675","39","maps/mp/duel4","user:void","void","1","level_clear","4","1","552","464","45","191","11","0","1","4","6","3"
"34","arcade","1790128677","1790128775","98","maps/mp/duel4","user:void","void","1","level_clear","5","2","1534","1434","269","589","58","2","9","13","21","3"
"35","arcade","1790128776","1790128871","95","maps/mp/duel4","user:void","void","1","eliminated","6","1","1411","1352","445","413","70","6","4","6","18","1"
"36","arcade","1790128882","1790128909","27","maps/mp/duel4","user:void","void","1","level_clear","2","1","392","294","50","182","4","0","1","7","3","0"
"37","arcade","1790128911","1790128928","17","maps/mp/duel4","user:void","void","1","level_clear","3","1","317","217","122","181","10","2","3","3","5","2"
"38","arcade","1790128930","1790129006","76","maps/mp/duel4","user:void","void","1","level_clear","4","1","1210","1111","174","313","65","5","1","1","17","1"
"39","arcade","1790129008","1790129059","51","maps/mp/duel4","user:void","void","1","eliminated","5","0","670","588","182","515","54","2","4","12","11","0"
"40","arcade","1790129207","1790129269","62","maps/vjun3","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","level_clear","1","1","211","145","100","97","0","0","0","0","0","0"
"41","arcade","1790129271","1790129291","20","maps/vjun3","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","level_clear","2","1","76","0","1","94","0","0","2","0","0","2"
"42","arcade","1790129292","1790129314","22","maps/vjun3","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","level_clear","3","0","138","138","61","92","7","0","1","0","1","1"
"43","arcade","1790129317","1790129331","14","maps/vjun3","user:void","void","1","level_clear","4","0","66","14","0","174","0","0","0","3","0","1"
"44","arcade","1790129333","1790129420","87","maps/vjun3","user:void","void","1","level_clear","5","2","1412","1314","309","589","53","2","6","17","10","6"
"45","arcade","1790129422","1790129492","70","maps/vjun3","user:void","void","1","level_clear","6","1","867","776","11","474","30","0","7","9","12","3"
"46","arcade","1790129494","1790129544","50","maps/vjun3","user:void","void","1","level_clear","7","3","638","539","80","373","36","0","4","5","5","1"
"47","arcade","1790129545","1790129569","24","maps/vjun3","user:void","void","1","level_clear","8","2","192","150","4","164","0","0","0","1","0","1"
"48","arcade","1790129571","1790129689","118","maps/vjun3","user:void","void","1","eliminated","9","1","1680","1618","683","442","73","6","9","9","22","2"
"49","arcade","1790255664","1790255717","53","maps/mp/ffa3","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","eliminated","1","0","0","0","20","0","0","1","0","0","0","0"
"50","arcade","1790255728","1790255770","42","maps/mp/ffa3","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","eliminated","2","0","0","0","0","0","0","0","0","0","0","0"
"51","arcade","1790255727","1790255816","89","maps/mp/ffa3","iphash:2667391d","Padawan","2","eliminated","2","0","88","88","168","0","0","1","0","0","0","0"
"52","arcade","1790255827","1790255863","36","maps/mp/ffa3","user:void","void","1","eliminated","2","0","0","0","0","0","0","0","0","0","0","0"
"53","arcade","1790255865","1790255868","3","maps/mp/ffa3","user:void","void","1","eliminated","1","0","0","0","0","0","0","0","0","0","0","0"
"54","arcade","1790255878","1790255903","25","maps/mp/ffa3","user:void","void","1","eliminated","2","0","0","0","0","0","0","0","0","0","0","0"
"55","arcade","1790255904","1790255909","5","maps/mp/ffa3","user:void","void","1","eliminated","1","0","0","0","0","0","0","0","0","0","0","0"
"56","arcade","1790256416","1790256467","51","maps/mp/duel6","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","eliminated","1","0","28","28","193","9","0","1","1","0","0","0"
"57","arcade","1790256478","1790256685","207","maps/mp/duel6","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","disconnect","2","0","0","0","0","0","0","0","0","0","0","0"
"58","arcade","1790263472","1790263480","8","maps/mp/duel6","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","eliminated","1","0","0","0","0","0","0","0","0","0","0","0"
"59","arcade","1790263491","1790263564","73","maps/mp/duel6","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","eliminated","2","0","20","20","158","16","0","1","0","0","0","1"
"60","arcade","1790263574","1790263589","15","maps/mp/duel6","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","eliminated","2","0","0","0","0","0","0","0","0","0","0","0"
"61","arcade","1790263599","1790263844","245","maps/mp/duel6","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","disconnect","2","0","0","0","0","0","0","0","0","0","0","0"
"62","arcade","1790294429","1790294485","56","maps/mp/duel6","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","eliminated","1","0","665","565","249","228","23","1","4","2","5","1"
"63","arcade","1790294495","1790294615","120","maps/mp/duel6","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","level_clear","2","1","1162","1077","240","187","18","2","5","4","10","0"
"64","arcade","1790294617","1790294670","53","maps/mp/duel6","user:void","void","1","level_clear","3","1","609","509","233","251","30","3","4","2","10","1"
"65","arcade","1790294672","1790294725","53","maps/mp/duel6","user:void","void","1","level_clear","4","1","365","267","78","244","22","0","2","7","3","1"
"66","arcade","1790294726","1790294835","109","maps/mp/duel6","user:void","void","1","level_clear","5","2","1541","1469","458","575","78","7","15","8","30","4"
"67","arcade","1790294837","1790294904","67","maps/mp/duel6","user:void","void","1","level_clear","6","2","744","662","102","331","55","2","3","7","11","0"
"68","arcade","1790294906","1790294968","62","maps/mp/duel6","user:void","void","1","level_clear","7","2","706","656","109","399","39","0","3","3","8","1"
"69","arcade","1790294969","1790295041","72","maps/mp/duel6","user:void","void","1","eliminated","8","0","913","897","423","285","48","4","9","4","15","4"
"70","arcade","1790295052","1790295190","138","maps/mp/duel6","user:void","void","1","level_clear","2","1","1169","1072","405","348","46","6","7","4","17","1"
"71","arcade","1790295191","1790295201","10","maps/mp/duel6","user:void","void","1","level_clear","3","1","107","27","0","89","6","0","0","0","0","0"
"72","arcade","1790295203","1790295235","32","maps/mp/duel6","user:void","void","1","level_clear","4","1","151","86","61","71","0","0","4","0","0","5"
"73","arcade","1790295237","1790295345","108","maps/mp/duel6","user:void","void","1","level_clear","5","2","1351","1333","320","520","57","5","3","11","11","4"
